序号,股票代码,股票简称,预测指标,业绩变动,预测数值,业绩变动幅度,业绩变动原因,预告类型,上年同期值,公告日期
1415,200553,安道麦B,归属于上市公司股东的净利润,"预计2026年1-6月归属于上市公司股东的净利润盈利:36,400万元至50,100万元。",432500000.0,638.27,"销售额公司预计2026年上半年销售额以美元计算与2025年上半年持平,反映了销量增加以及各国货币对美元汇率波动产生的积极影响1被价格下降所抵消;而受人民币对美元的升值影响,以人民币计算的销售额同比下降。公司主动削减部分基础化学品及低利润产品生产与销售业务,若剔除该影响,销售额应同比增长。息税及折旧摊销前利润(下文简称“EBITDA”)及净利润公司预计2026年半年度EBITDA及其利润率较2025年同期同比增长。EBITDA及其利润率改善的原因包括:公司计入3.06亿元非经常性资产处置收益,主要是公司子公司在一季度处置以色列物流中心所得收益;以及公司毛利与毛利率双双提升,抵消营业费用同比增加的影响。公司预计2026年半年度列报净利润3.64亿元至5.01亿元之间,较2025年同期亏损扭亏为盈。扭亏为盈的主要原因是息税前利润同比增加,财务费用同比减少,抵消了公司因提升运营效率计提固定资产减值的影响。",扭亏,-80350000.0,2026-07-15
1416,200553,安道麦B,扣除非经常性损益后的净利润,"预计2026年1-6月扣除非经常性损益后的净利润盈利:6,500万元至9,600万元。",80500000.0,153.665,"销售额公司预计2026年上半年销售额以美元计算与2025年上半年持平,反映了销量增加以及各国货币对美元汇率波动产生的积极影响1被价格下降所抵消;而受人民币对美元的升值影响,以人民币计算的销售额同比下降。公司主动削减部分基础化学品及低利润产品生产与销售业务,若剔除该影响,销售额应同比增长。息税及折旧摊销前利润(下文简称“EBITDA”)及净利润公司预计2026年半年度EBITDA及其利润率较2025年同期同比增长。EBITDA及其利润率改善的原因包括:公司计入3.06亿元非经常性资产处置收益,主要是公司子公司在一季度处置以色列物流中心所得收益;以及公司毛利与毛利率双双提升,抵消营业费用同比增加的影响。公司预计2026年半年度列报净利润3.64亿元至5.01亿元之间,较2025年同期亏损扭亏为盈。扭亏为盈的主要原因是息税前利润同比增加,财务费用同比减少,抵消了公司因提升运营效率计提固定资产减值的影响。",扭亏,-150000000.0,2026-07-15
1417,200541,粤照明B,扣除非经常性损益后的净利润,"预计2026年1-6月扣除非经常性损益后的净利润盈利:1,600万元至2,400万元,同比上年下降:77.37%至84.92%。",20000000.0,-81.145,"受全球宏观经济环境、房地产市场持续调整等影响,照明行业整体市场需求承压。同时,有色金属、电子元器件、塑料件等原材料价格大幅上涨,公司制造成本显著提高,而由于市场竞争激烈,公司产品价格未能同比例上涨,产品综合毛利率同比下降。同时,报告期内人民币兑美元汇率大幅升值,也对公司当期利润造成不利影响。面对行业下行压力,公司多措并举:一是加大市场开拓力度,开展营销赋能活动、升级产品品类、推进产品智能迭代等,营业收入基本保持稳定;二是持续深化降本增效专项行动,全面推进精益生产、精简SKU品类、严控成本、压降费用,全力对冲市场行情带来的不利影响;三是紧盯汇率市场波动,积极开展套期保值工作,尽力减少因汇率大幅波动对公司利润的影响。",预减,106077000.0,2026-07-15
1418,200541,粤照明B,归属于上市公司股东的净利润,"预计2026年1-6月归属于上市公司股东的净利润盈利:3,200万元至4,300万元,同比上年下降:62.61%至72.17%。",37500000.0,-67.39,"受全球宏观经济环境、房地产市场持续调整等影响,照明行业整体市场需求承压。同时,有色金属、电子元器件、塑料件等原材料价格大幅上涨,公司制造成本显著提高,而由于市场竞争激烈,公司产品价格未能同比例上涨,产品综合毛利率同比下降。同时,报告期内人民币兑美元汇率大幅升值,也对公司当期利润造成不利影响。面对行业下行压力,公司多措并举:一是加大市场开拓力度,开展营销赋能活动、升级产品品类、推进产品智能迭代等,营业收入基本保持稳定;二是持续深化降本增效专项行动,全面推进精益生产、精简SKU品类、严控成本、压降费用,全力对冲市场行情带来的不利影响;三是紧盯汇率市场波动,积极开展套期保值工作,尽力减少因汇率大幅波动对公司利润的影响。",预减,114993800.0,2026-07-15
1419,200541,粤照明B,每股收益,预计2026年1-6月每股收益盈利:0.0208元至0.028元。,0.0244,,"受全球宏观经济环境、房地产市场持续调整等影响,照明行业整体市场需求承压。同时,有色金属、电子元器件、塑料件等原材料价格大幅上涨,公司制造成本显著提高,而由于市场竞争激烈,公司产品价格未能同比例上涨,产品综合毛利率同比下降。同时,报告期内人民币兑美元汇率大幅升值,也对公司当期利润造成不利影响。面对行业下行压力,公司多措并举:一是加大市场开拓力度,开展营销赋能活动、升级产品品类、推进产品智能迭代等,营业收入基本保持稳定;二是持续深化降本增效专项行动,全面推进精益生产、精简SKU品类、严控成本、压降费用,全力对冲市场行情带来的不利影响;三是紧盯汇率市场波动,积极开展套期保值工作,尽力减少因汇率大幅波动对公司利润的影响。",预减,0.0749,2026-07-15
1420,200539,粤电力B,扣除非经常性损益后的净利润,"预计2026年1-6月扣除非经常性损益后的净利润亏损:48,646万元至88,646万元。",-686460000.0,-3038.825,"2026年上半年,得益于新增机组陆续投产,公司发电产能进一步提升,上网电量实现同比显著增长。但由于综合电价持续下降,燃料成本同比上升,新能源项目利用小时不及预期,公司发电业务毛利持续收窄,叠加新投产机组折旧、人工、利息等费用增加的影响,报告期内归属于上市公司股东的净利润较去年同期大幅下滑。",增亏,-21870000.0,2026-07-15
1421,200539,粤电力B,每股收益,预计2026年1-6月每股收益亏损:0.0837元至0.1218元。,-0.10275,,"2026年上半年,得益于新增机组陆续投产,公司发电产能进一步提升,上网电量实现同比显著增长。但由于综合电价持续下降,燃料成本同比上升,新能源项目利用小时不及预期,公司发电业务毛利持续收窄,叠加新投产机组折旧、人工、利息等费用增加的影响,报告期内归属于上市公司股东的净利润较去年同期大幅下滑。",首亏,0.0062,2026-07-15
1422,200539,粤电力B,归属于上市公司股东的净利润,"预计2026年1-6月归属于上市公司股东的净利润亏损:43,946万元至63,946万元。",-539460000.0,-1761.41,"2026年上半年,得益于新增机组陆续投产,公司发电产能进一步提升,上网电量实现同比显著增长。但由于综合电价持续下降,燃料成本同比上升,新能源项目利用小时不及预期,公司发电业务毛利持续收窄,叠加新投产机组折旧、人工、利息等费用增加的影响,报告期内归属于上市公司股东的净利润较去年同期大幅下滑。",首亏,32470000.0,2026-07-15
1423,200521,虹美菱B,每股收益,预计2026年1-6月每股收益盈利:0.0513元至0.0592元。,0.05525,,"报告期内,公司业绩同比下降,主要受以下因素综合影响:因有色金属、化工原料等大宗原材料价格上涨以及海运费上升影响,盈利阶段性承压。受房地产市场持续调整、终端消费需求不足及渠道库存消化周期延长等因素影响,行业竞争加剧,产品均价下行,利润空间进一步收窄。为增强产品中长期竞争力,公司持续加大智改数转、品牌建设等长期性、战略性投入,对当期利润产生一定影响。后续公司将着力优化产品结构,深化与供应商战略合作,推动内部全价值链提质增效,促进公司经营能力和盈利能力持续改善。",预减,0.4051,2026-07-15
1424,200521,虹美菱B,扣除非经常性损益后的净利润,"预计2026年1-6月扣除非经常性损益后的净利润亏损:800万元至1,600万元,同比上年下降:102.05%至104.09%。",-12000000.0,-103.07,"报告期内,公司业绩同比下降,主要受以下因素综合影响:因有色金属、化工原料等大宗原材料价格上涨以及海运费上升影响,盈利阶段性承压。受房地产市场持续调整、终端消费需求不足及渠道库存消化周期延长等因素影响,行业竞争加剧,产品均价下行,利润空间进一步收窄。为增强产品中长期竞争力,公司持续加大智改数转、品牌建设等长期性、战略性投入,对当期利润产生一定影响。后续公司将着力优化产品结构,深化与供应商战略合作,推动内部全价值链提质增效,促进公司经营能力和盈利能力持续改善。",首亏,391047100.0,2026-07-15
1425,200521,虹美菱B,归属于上市公司股东的净利润,"预计2026年1-6月归属于上市公司股东的净利润盈利:5,200万元至6,000万元,同比上年下降:85.62%至87.54%。",56000000.0,-86.58,"报告期内,公司业绩同比下降,主要受以下因素综合影响:因有色金属、化工原料等大宗原材料价格上涨以及海运费上升影响,盈利阶段性承压。受房地产市场持续调整、终端消费需求不足及渠道库存消化周期延长等因素影响,行业竞争加剧,产品均价下行,利润空间进一步收窄。为增强产品中长期竞争力,公司持续加大智改数转、品牌建设等长期性、战略性投入,对当期利润产生一定影响。后续公司将着力优化产品结构,深化与供应商战略合作,推动内部全价值链提质增效,促进公司经营能力和盈利能力持续改善。",预减,417187300.0,2026-07-15
1426,200512,闽灿坤B,扣除非经常性损益后的净利润,"预计2026年1-6月扣除非经常性损益后的净利润亏损:2,550万元至3,100万元,同比上年下降:289%至329%。",-28250000.0,-309.0,"报告期内,公司受国际市场需求疲软影响,营业收入下降,原材料价格又持续处于高位,同行业竟争加剧,产品价格战压缩订单毛利空间;公司以外销为主人民币兑美元汇率升值,汇兑损失增加对公司净利润产生不利影响。依据《企业会计准则》和公司相关会计政策的规定,公司2026年1-6月共计提应收款项、存货及固定资产减值准备合计为人民币286.78万元,将影响公司2026年1-6月合并报表利润总额为人民币286.78万元。面对各种不利挑战,公司始终坚持“创新设计、专精制造、智能家电、国际品牌”的发展战略。公司将积极拓展国内外市场、优化产品结构及降本增效等措施,努力降低外部环境带来的不利影响。",首亏,13520000.0,2026-07-15
1427,200512,闽灿坤B,扣除后营业收入,"预计2026年1-6月扣除后营业收入:56,000万元至60,000万元。",580000000.0,,"报告期内,公司受国际市场需求疲软影响,营业收入下降,原材料价格又持续处于高位,同行业竟争加剧,产品价格战压缩订单毛利空间;公司以外销为主人民币兑美元汇率升值,汇兑损失增加对公司净利润产生不利影响。依据《企业会计准则》和公司相关会计政策的规定,公司2026年1-6月共计提应收款项、存货及固定资产减值准备合计为人民币286.78万元,将影响公司2026年1-6月合并报表利润总额为人民币286.78万元。面对各种不利挑战,公司始终坚持“创新设计、专精制造、智能家电、国际品牌”的发展战略。公司将积极拓展国内外市场、优化产品结构及降本增效等措施,努力降低外部环境带来的不利影响。",略减,652770000.0,2026-07-15
1428,200512,闽灿坤B,营业收入,"预计2026年1-6月营业收入:56,000万元至60,000万元。",580000000.0,-11.145,"报告期内,公司受国际市场需求疲软影响,营业收入下降,原材料价格又持续处于高位,同行业竟争加剧,产品价格战压缩订单毛利空间;公司以外销为主人民币兑美元汇率升值,汇兑损失增加对公司净利润产生不利影响。依据《企业会计准则》和公司相关会计政策的规定,公司2026年1-6月共计提应收款项、存货及固定资产减值准备合计为人民币286.78万元,将影响公司2026年1-6月合并报表利润总额为人民币286.78万元。面对各种不利挑战,公司始终坚持“创新设计、专精制造、智能家电、国际品牌”的发展战略。公司将积极拓展国内外市场、优化产品结构及降本增效等措施,努力降低外部环境带来的不利影响。",略减,652770000.0,2026-07-15
1429,200512,闽灿坤B,每股收益,预计2026年1-6月每股收益亏损:0.13元至0.16元。,-0.145,,"报告期内,公司受国际市场需求疲软影响,营业收入下降,原材料价格又持续处于高位,同行业竟争加剧,产品价格战压缩订单毛利空间;公司以外销为主人民币兑美元汇率升值,汇兑损失增加对公司净利润产生不利影响。依据《企业会计准则》和公司相关会计政策的规定,公司2026年1-6月共计提应收款项、存货及固定资产减值准备合计为人民币286.78万元,将影响公司2026年1-6月合并报表利润总额为人民币286.78万元。面对各种不利挑战,公司始终坚持“创新设计、专精制造、智能家电、国际品牌”的发展战略。公司将积极拓展国内外市场、优化产品结构及降本增效等措施,努力降低外部环境带来的不利影响。",首亏,0.09,2026-07-15
1430,200512,闽灿坤B,归属于上市公司股东的净利润,"预计2026年1-6月归属于上市公司股东的净利润亏损:2,500万元至3,000万元,同比上年下降:256%至288%。",-27500000.0,-272.0,"报告期内,公司受国际市场需求疲软影响,营业收入下降,原材料价格又持续处于高位,同行业竟争加剧,产品价格战压缩订单毛利空间;公司以外销为主人民币兑美元汇率升值,汇兑损失增加对公司净利润产生不利影响。依据《企业会计准则》和公司相关会计政策的规定,公司2026年1-6月共计提应收款项、存货及固定资产减值准备合计为人民币286.78万元,将影响公司2026年1-6月合并报表利润总额为人民币286.78万元。面对各种不利挑战,公司始终坚持“创新设计、专精制造、智能家电、国际品牌”的发展战略。公司将积极拓展国内外市场、优化产品结构及降本增效等措施,努力降低外部环境带来的不利影响。",首亏,16000000.0,2026-07-15
1431,200488,ST晨鸣B,扣除非经常性损益后的净利润,"预计2026年1-6月扣除非经常性损益后的净利润亏损:103,000万元至113,000万元。",-1080000000.0,70.37,"1、本报告期,公司主动适应市场变化,强化精细化管理,通过制定清晰的战略经营目标、梳理组织架构、完善管理制度,并统筹优化物流运输、推进工艺技改、强化设备自主维保、拓展多元销售渠道等一系列举措,实现产销平衡,进一步降本增效,公司整体经营大幅减亏。2、报告期内,公司各生产基地全面复工复产,产销量同比大幅增加,停工损失同比大幅减少;公司积极与各债权人洽谈进一步降息,财务费用降幅明显;去年四季度公司剥离了全部融资租赁业务相关资产,影响本报告期信用减值损失和资产减值损失同比大幅减少。3、下一步,公司将坚定实施“一二五”战略发展规划,锚定“打造一流经营团队、创造一流经营业绩”目标,以“降本增效、产品创新、合规预防”为主线,加强队伍建设,深化管理改革创新,完善产业生态链,重构生产管理体系,加大非主业资产处置力度,培育品牌公信力,全力以赴实现企业高质量、可持续发展。",减亏,-3645360000.0,2026-07-15
1432,200488,ST晨鸣B,归属于上市公司股东的净利润,"预计2026年1-6月归属于上市公司股东的净利润亏损:70,000万元至80,000万元。",-750000000.0,80.56,"1、本报告期,公司主动适应市场变化,强化精细化管理,通过制定清晰的战略经营目标、梳理组织架构、完善管理制度,并统筹优化物流运输、推进工艺技改、强化设备自主维保、拓展多元销售渠道等一系列举措,实现产销平衡,进一步降本增效,公司整体经营大幅减亏。2、报告期内,公司各生产基地全面复工复产,产销量同比大幅增加,停工损失同比大幅减少;公司积极与各债权人洽谈进一步降息,财务费用降幅明显;去年四季度公司剥离了全部融资租赁业务相关资产,影响本报告期信用减值损失和资产减值损失同比大幅减少。3、下一步,公司将坚定实施“一二五”战略发展规划,锚定“打造一流经营团队、创造一流经营业绩”目标,以“降本增效、产品创新、合规预防”为主线,加强队伍建设,深化管理改革创新,完善产业生态链,重构生产管理体系,加大非主业资产处置力度,培育品牌公信力,全力以赴实现企业高质量、可持续发展。",减亏,-3857950000.0,2026-07-15
1433,200488,ST晨鸣B,每股收益,预计2026年1-6月每股收益亏损:0.24元至0.27元。,-0.255,,"1、本报告期,公司主动适应市场变化,强化精细化管理,通过制定清晰的战略经营目标、梳理组织架构、完善管理制度,并统筹优化物流运输、推进工艺技改、强化设备自主维保、拓展多元销售渠道等一系列举措,实现产销平衡,进一步降本增效,公司整体经营大幅减亏。2、报告期内,公司各生产基地全面复工复产,产销量同比大幅增加,停工损失同比大幅减少;公司积极与各债权人洽谈进一步降息,财务费用降幅明显;去年四季度公司剥离了全部融资租赁业务相关资产,影响本报告期信用减值损失和资产减值损失同比大幅减少。3、下一步,公司将坚定实施“一二五”战略发展规划,锚定“打造一流经营团队、创造一流经营业绩”目标,以“降本增效、产品创新、合规预防”为主线,加强队伍建设,深化管理改革创新,完善产业生态链,重构生产管理体系,加大非主业资产处置力度,培育品牌公信力,全力以赴实现企业高质量、可持续发展。",减亏,-1.31,2026-07-15
1434,200056,*ST皇庭B,归属于上市公司股东的净利润,"预计2026年1-6月归属于上市公司股东的净利润亏损:25,000万元至30,000万元。",-275000000.0,-48.32,"2026年半年度业绩预计亏损较上年同期增加的核心原因如下:1、2025年公司深圳皇庭广场被司法以物抵债后,报告期与该项目相关的业务净利润减少约1.42亿元,土地增值税增加1.80亿元,利息支出减少1.33亿元,使本期净利润较上年同期减少1.89亿元。2、报告期公司子公司瑞泽租赁收回部分融资租赁款确认收入0.71亿元,增加净利润0.71亿元。",增亏,-185409600.0,2026-07-15
1435,200056,*ST皇庭B,每股收益,预计2026年1-6月每股收益亏损:0.21元至0.25元。,-0.23,,"2026年半年度业绩预计亏损较上年同期增加的核心原因如下:1、2025年公司深圳皇庭广场被司法以物抵债后,报告期与该项目相关的业务净利润减少约1.42亿元,土地增值税增加1.80亿元,利息支出减少1.33亿元,使本期净利润较上年同期减少1.89亿元。2、报告期公司子公司瑞泽租赁收回部分融资租赁款确认收入0.71亿元,增加净利润0.71亿元。",增亏,-0.16,2026-07-15
1436,200056,*ST皇庭B,扣除非经常性损益后的净利润,"预计2026年1-6月扣除非经常性损益后的净利润亏损:28,000万元至33,000万元。",-305000000.0,-57.21,"2026年半年度业绩预计亏损较上年同期增加的核心原因如下:1、2025年公司深圳皇庭广场被司法以物抵债后,报告期与该项目相关的业务净利润减少约1.42亿元,土地增值税增加1.80亿元,利息支出减少1.33亿元,使本期净利润较上年同期减少1.89亿元。2、报告期公司子公司瑞泽租赁收回部分融资租赁款确认收入0.71亿元,增加净利润0.71亿元。",增亏,-194006900.0,2026-07-15
1437,200016,*ST康佳B,扣除非经常性损益后的净利润,"预计2026年1-6月扣除非经常性损益后的净利润亏损:16,000万元至22,000万元。",-190000000.0,81.51,"2026年上半年,公司通过专业化整合,持续优化业务结构,通过精益管理,全面提升研产供销服全链条效能,期间费用持续下降,经营利润同比改善,加之参股企业投资收益同比大幅增加,公司与上年同期相比减亏,但由于以下原因,整体仍处于亏损状态。(一)2026年上半年,公司消费电子业务上游供应链持续波动,产品成本持续走高,产品结构调整及价格策略调整未能有效对冲成本上涨压力,业务毛利空间受到进一步挤压,虽然期间费用持续优化,但毛利获取未有效覆盖期间费用,经营利润仍处亏损状态。(二)目前公司半导体业务仍处于产业化初期,虽部分产品实现产业化销售,尚仍未实现规模化及效益化产出,半导体业务整体经营处于亏损状态。",减亏,-1027502100.0,2026-07-15
1438,200016,*ST康佳B,每股收益,预计2026年1-6月每股收益亏损:0.054元至0.0748元。,-0.0644,,"2026年上半年,公司通过专业化整合,持续优化业务结构,通过精益管理,全面提升研产供销服全链条效能,期间费用持续下降,经营利润同比改善,加之参股企业投资收益同比大幅增加,公司与上年同期相比减亏,但由于以下原因,整体仍处于亏损状态。(一)2026年上半年,公司消费电子业务上游供应链持续波动,产品成本持续走高,产品结构调整及价格策略调整未能有效对冲成本上涨压力,业务毛利空间受到进一步挤压,虽然期间费用持续优化,但毛利获取未有效覆盖期间费用,经营利润仍处亏损状态。(二)目前公司半导体业务仍处于产业化初期,虽部分产品实现产业化销售,尚仍未实现规模化及效益化产出,半导体业务整体经营处于亏损状态。",减亏,-0.1592,2026-07-15
1439,200016,*ST康佳B,归属于上市公司股东的净利润,"预计2026年1-6月归属于上市公司股东的净利润亏损:13,000万元至18,000万元。",-155000000.0,59.565,"2026年上半年,公司通过专业化整合,持续优化业务结构,通过精益管理,全面提升研产供销服全链条效能,期间费用持续下降,经营利润同比改善,加之参股企业投资收益同比大幅增加,公司与上年同期相比减亏,但由于以下原因,整体仍处于亏损状态。(一)2026年上半年,公司消费电子业务上游供应链持续波动,产品成本持续走高,产品结构调整及价格策略调整未能有效对冲成本上涨压力,业务毛利空间受到进一步挤压,虽然期间费用持续优化,但毛利获取未有效覆盖期间费用,经营利润仍处亏损状态。(二)目前公司半导体业务仍处于产业化初期,虽部分产品实现产业化销售,尚仍未实现规模化及效益化产出,半导体业务整体经营处于亏损状态。",减亏,-383328000.0,2026-07-15
1440,200012,南玻B,扣除非经常性损益后的净利润,"预计2026年1-6月扣除非经常性损益后的净利润亏损:43,510万元至49,360万元。",-464350000.0,-2234.945,"报告期内,受光伏产品市场价格下行影响,相关产品毛利率下滑,导致公司本期净利润下降。同时,因产品售价下跌,根据会计准则及相关会计政策的规定,本着谨慎性原则,公司对部分存货计提了存货跌价准备。",首亏,21750000.0,2026-07-15
1441,200012,南玻B,归属于上市公司股东的净利润,"预计2026年1-6月归属于上市公司股东的净利润亏损:39,020万元至44,260万元。",-416400000.0,-658.7,"报告期内,受光伏产品市场价格下行影响,相关产品毛利率下滑,导致公司本期净利润下降。同时,因产品售价下跌,根据会计准则及相关会计政策的规定,本着谨慎性原则,公司对部分存货计提了存货跌价准备。",首亏,74530000.0,2026-07-15
1442,200012,南玻B,每股收益,预计2026年1-6月每股收益亏损:0.13元至0.15元。,-0.14,,"报告期内,受光伏产品市场价格下行影响,相关产品毛利率下滑,导致公司本期净利润下降。同时,因产品售价下跌,根据会计准则及相关会计政策的规定,本着谨慎性原则,公司对部分存货计提了存货跌价准备。",首亏,0.02,2026-07-15
1443,200011,深物业B,扣除非经常性损益后的净利润,"预计2026年1-6月扣除非经常性损益后的净利润亏损:7,340万元。",-73400000.0,-188.83,"报告期内,公司房地产开发业务结转的收入虽较上年同期上升,但受结转收入的房地产项目毛利率降低的影响,公司整体营业毛利率同比下降,故致本报告期归属于上市公司股东的净利润同比减少。",增亏,-25413000.0,2026-07-15
1444,200011,深物业B,每股收益,预计2026年1-6月每股收益亏损:0.1158元。,-0.1158,,"报告期内,公司房地产开发业务结转的收入虽较上年同期上升,但受结转收入的房地产项目毛利率降低的影响,公司整体营业毛利率同比下降,故致本报告期归属于上市公司股东的净利润同比减少。",首亏,0.0242,2026-07-15
1445,200011,深物业B,归属于上市公司股东的净利润,"预计2026年1-6月归属于上市公司股东的净利润亏损:6,900万元。",-69000000.0,-578.24,"报告期内,公司房地产开发业务结转的收入虽较上年同期上升,但受结转收入的房地产项目毛利率降低的影响,公司整体营业毛利率同比下降,故致本报告期归属于上市公司股东的净利润同比减少。",首亏,14428000.0,2026-07-15
1446,003042,中农联合,归属于上市公司股东的净利润,"预计2026年1-6月归属于上市公司股东的净利润亏损:3,700万元至4,700万元,同比上年下降:1252.76%至1564.31%。",-42000000.0,-1408.535,"报告期公司经营业绩亏损的主要原因,一是受国际原油价格大幅波动影响,部分原材料价格大幅上涨,公司主要产品价格短期上涨后快速回落,而原材料价格回落幅度较小,导致公司利润空间收窄;二是公司对存在减值迹象的存货计提的资产减值准备同比增加较多;三是受美元汇率持续走弱影响,本期汇兑损失增加较多导致财务费用同比增幅较大。",首亏,3209700.0,2026-07-15
1447,003042,中农联合,扣除非经常性损益后的净利润,"预计2026年1-6月扣除非经常性损益后的净利润亏损:3,900万元至4,900万元,同比上年下降:1998.09%至2484.78%。",-44000000.0,-2241.435,"报告期公司经营业绩亏损的主要原因,一是受国际原油价格大幅波动影响,部分原材料价格大幅上涨,公司主要产品价格短期上涨后快速回落,而原材料价格回落幅度较小,导致公司利润空间收窄;二是公司对存在减值迹象的存货计提的资产减值准备同比增加较多;三是受美元汇率持续走弱影响,本期汇兑损失增加较多导致财务费用同比增幅较大。",首亏,2054700.0,2026-07-15
1448,003042,中农联合,每股收益,预计2026年1-6月每股收益亏损:0.26元至0.33元。,-0.295,,"报告期公司经营业绩亏损的主要原因,一是受国际原油价格大幅波动影响,部分原材料价格大幅上涨,公司主要产品价格短期上涨后快速回落,而原材料价格回落幅度较小,导致公司利润空间收窄;二是公司对存在减值迹象的存货计提的资产减值准备同比增加较多;三是受美元汇率持续走弱影响,本期汇兑损失增加较多导致财务费用同比增幅较大。",首亏,0.02,2026-07-15
1449,003041,真爱美家,扣除非经常性损益后的净利润,"预计2026年1-6月扣除非经常性损益后的净利润盈利:1,083万元至1,585万元,同比上年下降:43.07%至61.1%。",13340000.0,-52.085,"报告期内,公司归属于上市公司股东的净利润较上年同期下降比例较大,主要原因如下:(一)非经常性损益影响上年同期公司子公司真爱毯业原徐村厂区土地、建筑及附属物征收补偿税后净收益16,187.67万元,占净利润的82.22%。本期无同类收益,导致非经常性损益同比大幅减少。(二)期间费用增加报告期内,受汇率波动影响,公司汇兑损失增加;同时,为满足业务发展需要,公司融资规模扩大,利息支出同比上升,上述因素共同导致财务费用有所上涨。",预减,27840900.0,2026-07-15
1450,003041,真爱美家,归属于上市公司股东的净利润,"预计2026年1-6月归属于上市公司股东的净利润盈利:1,404万元至2,054万元,同比上年下降:89.57%至92.87%。",17290000.0,-91.22,"报告期内,公司归属于上市公司股东的净利润较上年同期下降比例较大,主要原因如下:(一)非经常性损益影响上年同期公司子公司真爱毯业原徐村厂区土地、建筑及附属物征收补偿税后净收益16,187.67万元,占净利润的82.22%。本期无同类收益,导致非经常性损益同比大幅减少。(二)期间费用增加报告期内,受汇率波动影响,公司汇兑损失增加;同时,为满足业务发展需要,公司融资规模扩大,利息支出同比上升,上述因素共同导致财务费用有所上涨。",预减,196879800.0,2026-07-15
1451,003041,真爱美家,每股收益,预计2026年1-6月每股收益盈利:0.0975元至0.1426元。,0.12005,,"报告期内,公司归属于上市公司股东的净利润较上年同期下降比例较大,主要原因如下:(一)非经常性损益影响上年同期公司子公司真爱毯业原徐村厂区土地、建筑及附属物征收补偿税后净收益16,187.67万元,占净利润的82.22%。本期无同类收益,导致非经常性损益同比大幅减少。(二)期间费用增加报告期内,受汇率波动影响,公司汇兑损失增加;同时,为满足业务发展需要,公司融资规模扩大,利息支出同比上升,上述因素共同导致财务费用有所上涨。",预减,1.3672,2026-07-15
1452,003040,楚天龙,归属于上市公司股东的净利润,"预计2026年1-6月归属于上市公司股东的净利润亏损:5,000万元至6,500万元,同比上年下降:25.73%至63.44%。",-57500000.0,-44.585,"2026上半年,公司经营业绩出现阶段性亏损,主要是由于行业竞争加剧,部分产品价格下降导致公司收入和毛利率水平下滑所致,但公司生产经营多项指标呈现积极向好态势:一是市场端持续突破,上半年顺利中标多家国有商业银行、股份制商业银行总行级项目,入围多地市第三代社保卡项目,不断巩固市场地位;二是技术研发成果落地,eSIM等多项核心自研技术与产品取得国际、国内行业组织与客户认证,长期竞争壁垒持续加固;三是内部降本增效全面推进,智能化改造等措施初见成效;四是行业中长期成长逻辑不变,数字安全与数智服务政策持续加持。面对当前经营环境,公司持续推进多维度经营优化工作,通过“拓新增收、降本提效、盘活现金流”多措并举,为公司实现稳健可持续发展筑牢基础。",增亏,-39768800.0,2026-07-15
1453,003040,楚天龙,每股收益,预计2026年1-6月每股收益亏损:0.11元至0.14元。,-0.125,,"2026上半年,公司经营业绩出现阶段性亏损,主要是由于行业竞争加剧,部分产品价格下降导致公司收入和毛利率水平下滑所致,但公司生产经营多项指标呈现积极向好态势:一是市场端持续突破,上半年顺利中标多家国有商业银行、股份制商业银行总行级项目,入围多地市第三代社保卡项目,不断巩固市场地位;二是技术研发成果落地,eSIM等多项核心自研技术与产品取得国际、国内行业组织与客户认证,长期竞争壁垒持续加固;三是内部降本增效全面推进,智能化改造等措施初见成效;四是行业中长期成长逻辑不变,数字安全与数智服务政策持续加持。面对当前经营环境,公司持续推进多维度经营优化工作,通过“拓新增收、降本提效、盘活现金流”多措并举,为公司实现稳健可持续发展筑牢基础。",增亏,-0.09,2026-07-15
1454,003040,楚天龙,扣除非经常性损益后的净利润,"预计2026年1-6月扣除非经常性损益后的净利润亏损:5,300万元至6,860万元,同比上年下降:28.24%至65.99%。",-60800000.0,-47.115,"2026上半年,公司经营业绩出现阶段性亏损,主要是由于行业竞争加剧,部分产品价格下降导致公司收入和毛利率水平下滑所致,但公司生产经营多项指标呈现积极向好态势:一是市场端持续突破,上半年顺利中标多家国有商业银行、股份制商业银行总行级项目,入围多地市第三代社保卡项目,不断巩固市场地位;二是技术研发成果落地,eSIM等多项核心自研技术与产品取得国际、国内行业组织与客户认证,长期竞争壁垒持续加固;三是内部降本增效全面推进,智能化改造等措施初见成效;四是行业中长期成长逻辑不变,数字安全与数智服务政策持续加持。面对当前经营环境,公司持续推进多维度经营优化工作,通过“拓新增收、降本提效、盘活现金流”多措并举,为公司实现稳健可持续发展筑牢基础。",增亏,-41328600.0,2026-07-15
